IndicatorId,Indicator
RH_DELA_C_DKM,Assistance during delivery: don't know or missing
CH_VACS_C_BCG,BCG vaccination received
CH_VACC_C_BCG,BCG vaccination received
CH_VAC1_C_BCG,BCG vaccination received in first year
FP_KFTP_W_OTH,Believes fertile period is 'other'
FP_KFTP_W_AFT,Believes fertile period is after period ended
FP_KFTP_W_NON,Believes fertile period is at any time
FP_KFTP_W_BEF,Believes fertile period is before period begins
FP_KFTP_W_DUR,Believes fertile period is during her period
FP_KFTP_W_HLF,Believes fertile period is middle of the cycle
CH_SZWT_C_REP,Birth weight of child reported
CH_SZWT_C_REM,Birth weight of child reported by: mother's recall
CH_SZWT_C_REW,Birth weight of child reported by: written record
CH_SZWT_C_L25,Birth weight: Less than 2.5 kg
FE_BORD_C_TOT,Births in the 2 years preceding the survey: Total
FE_BORD_C_BO1,Births of birth order 1
FE_BORD_C_BO2,Births of birth order 2
FE_BORD_C_BO3,Births of birth order 3
FE_BORD_C_BO4,Births of birth order 4
FE_BORD_C_BO5,Births of birth order 5+
CN_FDBF_C_INF,Breastfeeding children receiving infant formula
CN_FDBF_C_LIQ,Breastfeeding children receiving other liquids
CN_FDBF_C_MLK,Breastfeeding children receiving other milk
CM_ECMT_C_CMR,Child mortality (5 year periods)
CM_ECMT_C_CML,Child mortality (5 year periods) - CI lower bound (-2SE)
CM_ECMT_C_CMU,Child mortality (5 year periods) - CI upper bound (+2SE)
CM_ECMT_C_CMX,Child mortality (5 year periods) - relative error
CM_ECMT_C_CME,Child mortality (5 year periods) - standard error
CM_ECMR_C_CML,Child mortality - CI lower bound (-2SE)
CM_ECMR_C_CMU,Child mortality - CI upper bound (+2SE)
CM_ECMR_C_CMX,Child mortality - relative error
CM_ECMR_C_CME,Child mortality - standard error
CM_ECMR_C_CMR,Child mortality rate
HC_AGEG_P_CHL,Child population 0-17
CH_FEVT_C_AML,Child took antimalarial drugs for fever
HC_LVAY_C_BTH,Children age 10-14 living with both parents
HC_LVAY_C_FON,Children age 10-14 living with father only
HC_LVAY_C_FMA,"Children age 10-14 living with father, mother alive"
HC_LVAY_C_FMD,"Children age 10-14 living with father, mother dead"
HC_LVAY_C_MON,Children age 10-14 living with mother only
HC_LVAY_C_MFA,"Children age 10-14 living with mother, father alive"
HC_LVAY_C_MFD,"Children age 10-14 living with mother, father dead"
HC_LVAY_C_NBA,"Children age 10-14 living with neither parent, both alive"
HC_LVAY_C_NBD,"Children age 10-14 living with neither parent, both dead"
HC_LVAY_C_NFA,"Children age 10-14 living with neither parent, father alive"
HC_LVAY_C_NMA,"Children age 10-14 living with neither parent, mother alive"
HC_LVAY_C_NBP,Children age 10-14 not living with a biological parent
HC_LVAY_C_NMS,Children age 10-14 with missing information on whether father/mother alive
HC_LVAY_C_TOT,Children age 10-14: Total
CN_BRFS_C_CMP,Children breastfeeding and consuming complementary foods
CN_BRFS_C_LIQ,Children breastfeeding and consuming non-milk liquids
CN_BRFS_C_MLK,Children breastfeeding and consuming other milk
CN_BRFS_C_WAT,Children breastfeeding and consuming plain water only
CN_BRFS_C_BRF,Children currently breastfeeding
CN_IYCB_C_BR1,Children currently breastfeeding at 1 year
CN_IYCB_C_BR2,Children currently breastfeeding at 2 years
CN_BRFI_C_EVR,Children ever breastfed
CN_BRFS_C_EXB,Children exclusively breastfed
CN_IYCB_C_E45,Children exclusively breastfed at age 4-5 months
CN_IYCB_C_EXB,Children exclusively breastfed under age 6 months
CN_BRFS_C_NOT,Children not breastfeeding
CN_NUTS_C_WHP,Children overweight
CN_NUTS_C_WAP,Children overweight for their age
CN_IYCB_C_MBF,Children receiving mixed breast and non-breast milk feeding age 0-5 months
CN_NUTS_C_HA3,Children severely stunted
CN_NUTS_C_WA3,Children severely underweight
CN_NUTS_C_WH3,Children severely wasted
CN_NUTS_C_HA2,Children stunted
CN_NUTS_C_WA2,Children underweight
CN_BRFS_C_BNP,Children using a bottle with a nipple
CN_IYCB_C_BNP,Children using a bottle with a nipple 0-23 months
CN_NUTS_C_WH2,Children wasted
CN_BRFI_C_PLF,Children who received a prelacteal feed
CN_BRFI_C_1DY,Children who started breastfeeding within 1 day of birth
CN_BRFI_C_1HR,Children who started breastfeeding within 1 hour of birth
CH_ARIS_C_ADV,Children with ARI for whom advice or treatment was sought
CN_ANMC_C_ANY,Children with any anemia
CH_DIAR_C_DIA,Children with diarrhea
CH_DIAR_C_DIB,Children with diarrhea with blood in the stools
CH_FEVT_C_ADV,Children with fever for whom advice or treatment was sought
CH_FEVR_C_FEV,Children with fever in the last two weeks
CN_ANMC_C_MLD,Children with mild anemia
CN_ANMC_C_MOD,Children with moderate anemia
CN_ANMC_C_SEV,Children with severe anemia
CH_ARIS_C_ARI,Children with symptoms of ARI
CN_BRFS_C_TOT,Children: Total
FG_PFCT_W_CFR,Circumcised women who were cut and had flesh removed
FG_PFCT_W_CNF,Circumcised women who were cut but no flesh was removed
FG_PFCT_W_SWN,Circumcised women who were sewn closed
FG_AFCC_W_DKM,Circumcised women with age at circumcision unknown or missing
FG_PFCT_W_DKM,Circumcised women with unknown or missing information on type of circumcision
FG_PFCT_W_TOT,Circumcised women: total
FG_AFCC_W_TOT,Circumcised women: total
FE_FRTY_W_MNC,Completed fertility of women age 40-49
HA_HRSX_M_CND,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]"
HA_HRSX_W_CND,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]"
HA_MSXP_M_CND,Condom use during higher-risk sex (with multiple partners) [Men]
HA_MSXP_W_CND,Condom use during higher-risk sex (with multiple partners) [Women]
FP_KFPC_W_CKF,Correct knowledge of the fertile period
FE_FRTR_W_CBR,Crude birth rate
MA_MSTA_M_DIV,Current marital status [Men]: Divorced
MA_MSTA_M_LTG,Current marital status [Men]: Living together
MA_MSTA_M_MAR,Current marital status [Men]: Married
MA_MSTA_M_UNI,Current marital status [Men]: Married or living in union
MA_MSTA_M_NMA,Current marital status [Men]: Never married
MA_MSTA_M_SEP,Current marital status [Men]: Not living together
MA_MSTA_M_WID,Current marital status [Men]: Widowed
MA_MSTA_W_DIV,Current marital status [Women]: Divorced
MA_MSTA_W_LTG,Current marital status [Women]: Living together
MA_MSTA_W_MAR,Current marital status [Women]: Married
MA_MSTA_W_UNI,Current marital status [Women]: Married or living in union
MA_MSTA_W_NMA,Current marital status [Women]: Never married
MA_MSTA_W_SEP,Current marital status [Women]: Not living together
MA_MSTA_W_WID,Current marital status [Women]: Widowed
MA_MSTY_M_DIV,Current marital status [Young men]: Divorced
MA_MSTY_M_LTG,Current marital status [Young men]: Living together
MA_MSTY_M_MAR,Current marital status [Young men]: Married
MA_MSTY_M_UNI,Current marital status [Young men]: Married or living in union
MA_MSTY_M_NMA,Current marital status [Young men]: Never married
MA_MSTY_M_SEP,Current marital status [Young men]: Not living together
MA_MSTY_W_DIV,Current marital status [Young women]: Divorced
MA_MSTY_W_LTG,Current marital status [Young women]: Living together
MA_MSTY_W_MAR,Current marital status [Young women]: Married
MA_MSTY_W_UNI,Current marital status [Young women]: Married or living in union
MA_MSTY_W_NMA,Current marital status [Young women]: Never married
MA_MSTY_W_SEP,Current marital status [Young women]: Not living together
MA_MSTY_W_WID,Current marital status [Young women]: Widowed
ED_SCHA_C_SCA,Current school attendance rate of children aged 10-14 both of whose parents are alive and who live with at least one parent
ED_SCHA_C_SCD,Current school attendance rate of orphans aged 10-14
FP_CUSA_W_IUD,Current use of IUD (all women)
FP_CUSU_W_IUD,Current use of IUD (sexually active unmarried women)
FP_CUSA_W_ANY,Current use of any method of contraception (all women)
FP_CUSU_W_ANY,Current use of any method of contraception (sexually active unmarried women)
FP_CUSY_W_ANY,Current use of any method of contraception (young women)
FP_CUSA_W_MOD,Current use of any modern method of contraception (all women)
FP_CUSU_W_MOD,Current use of any modern method of contraception (sexually active unmarried women)
FP_CUSY_W_MOD,Current use of any modern method of contraception (young women)
FP_CUSA_W_TRA,Current use of any traditional method (all women)
FP_CUSU_W_TRA,Current use of any traditional method (sexually active unmarried women)
FP_CUSA_W_MCN,Current use of condom (all women)
FP_CUSU_W_MCN,Current use of condom (sexually active unmarried women)
FP_CUSA_W_DIA,Current use of diaphragm (all women)
FP_CUSA_W_DFJ,"Current use of diaphragm, foam or jelly (all women)"
FP_CUSA_W_FST,Current use of female sterilization (all women)
FP_CUSU_W_FST,Current use of female sterilization (sexually active unmarried women)
FP_CUSA_W_FOM,Current use of foam or jelly (all women)
FP_CUSU_W_FOM,Current use of foam or jelly (sexually active unmarried women)
FP_CUSA_W_IMP,Current use of implants (all women)
FP_CUSA_W_INJ,Current use of injections (all women)
FP_CUSU_W_INJ,Current use of injections (sexually active unmarried women)
FP_CUSA_W_LAM,Current use of lactational amenorrhea (all women)
FP_CUSA_W_OTR,Current use of other traditional methods (all women)
FP_CUSU_W_OTR,Current use of other traditional methods (sexually active unmarried women)
FP_CUSA_W_RHY,Current use of periodic abstinence (all women)
FP_CUSU_W_RHY,Current use of periodic abstinence (sexually active unmarried women)
FP_CUSA_W_PIL,Current use of pill (all women)
FP_CUSU_W_PIL,Current use of pill (sexually active unmarried women)
FP_CUSA_W_WTH,Current use of withdrawal (all women)
FP_CUSU_W_WTH,Current use of withdrawal (sexually active unmarried women)
FP_SRCM_W_NUM,Current users
FP_SRCM_W_UNW,Current users (unweighted)
FP_SRCM_W_GFP,Current users most recent supply or information from a family planning clinic
FP_SRCM_W_PFW,Current users most recent supply or information from a fieldworker
FP_SRCM_W_GFW,Current users most recent supply or information from a fieldworker
FP_SRCM_W_FRR,Current users most recent supply or information from a friend/relative
FP_SRCM_W_GHC,Current users most recent supply or information from a government health center
FP_SRCM_W_GHS,Current users most recent supply or information from a government hospital
FP_SRCM_W_GMB,Current users most recent supply or information from a mobile clinic
FP_SRCM_W_PMB,Current users most recent supply or information from a mobile clinic
FP_SRCM_W_PPH,Current users most recent supply or information from a pharmacy
FP_SRCM_W_PDR,Current users most recent supply or information from a private doctor
FP_SRCM_W_PHS,Current users most recent supply or information from a private hospital/clinic
FP_SRCM_W_PRV,Current users most recent supply or information from a private medical source
FP_SRCM_W_PUB,Current users most recent supply or information from a public source
FP_SRCM_W_SHP,Current users most recent supply or information from a shop
FP_SRCM_W_POT,Current users most recent supply or information from an other private medical source
FP_SRCM_W_GOT,Current users most recent supply or information from an other public medical source
FP_SRCM_W_OTH,Current users most recent supply or information from an other unspecified source
FP_SRCM_W_OSR,Current users most recent supply or information from other non-medical sources
FP_SRCM_W_MIS,Current users most recent supply or information: Missing
FP_SRCM_W_TOT,Current users: Total
CH_VACS_C_DP1,DPT 1 vaccination received
CH_VACC_C_DP1,DPT 1 vaccination received
CH_VAC1_C_DP1,DPT 1 vaccination received in first year
CH_VACS_C_DP2,DPT 2 vaccination received
CH_VACC_C_DP2,DPT 2 vaccination received
CH_VAC1_C_DP2,DPT 2 vaccination received in first year
CH_VACS_C_DP3,DPT 3 vaccination received
CH_VACC_C_DP3,DPT 3 vaccination received
CH_VAC1_C_DP3,DPT 3 vaccination received in first year
HC_OLDR_P_65P,De jure population age 65+
MM_AMRT_M_DTH,Deaths of adult men
MM_AMRT_W_DTH,Deaths of adult women
WE_DMKP_M_HUS,Decision maker about Major household purchases: Mainly husband [Men]
WE_DMKP_W_HUS,Decision maker about Major household purchases: Mainly husband [Women]
WE_DMKP_M_WIF,Decision maker about Major household purchases: Mainly wife [Men]
WE_DMKP_W_WIF,Decision maker about Major household purchases: Mainly wife [Women]
WE_DMKP_M_OTH,Decision maker about Major household purchases: Other [Men]
WE_DMKP_W_OTH,Decision maker about Major household purchases: Other [Women]
WE_DMKP_M_ELS,Decision maker about Major household purchases: Someone else [Men]
WE_DMKP_W_ELS,Decision maker about Major household purchases: Someone else [Women]
WE_DMKP_M_TOT,Decision maker about Major household purchases: Total [Men]
WE_DMKP_W_TOT,Decision maker about Major household purchases: Total [Women]
WE_DMKP_M_JNT,Decision maker about Major household purchases: Wife and husband jointly [Men]
WE_DMKP_W_JNT,Decision maker about Major household purchases: Wife and husband jointly [Women]
WE_DMKP_W_DKM,Decision maker about Major household purchases: don't know or missing [Women]
WE_DMKH_M_HUS,Decision maker about Own health care: Mainly husband [Men]
WE_DMKH_W_HUS,Decision maker about Own health care: Mainly husband [Women]
WE_DMKH_M_WIF,Decision maker about Own health care: Mainly wife [Men]
WE_DMKH_W_WIF,Decision maker about Own health care: Mainly wife [Women]
WE_DMKH_M_OTH,Decision maker about Own health care: Other [Men]
WE_DMKH_W_OTH,Decision maker about Own health care: Other [Women]
WE_DMKH_M_ELS,Decision maker about Own health care: Someone else [Men]
WE_DMKH_W_ELS,Decision maker about Own health care: Someone else [Women]
WE_DMKH_M_TOT,Decision maker about Own health care: Total [Men]
WE_DMKH_W_TOT,Decision maker about Own health care: Total [Women]
WE_DMKH_M_JNT,Decision maker about Own health care: Wife and husband jointly [Men]
WE_DMKH_W_JNT,Decision maker about Own health care: Wife and husband jointly [Women]
WE_DMKH_W_DKM,Decision maker about Own health care: don't know or missing [Women]
WE_DMKV_W_HUS,Decision maker about Visits to her family or relatives: Mainly husband [Women]
WE_DMKV_W_WIF,Decision maker about Visits to her family or relatives: Mainly wife [Women]
WE_DMKV_W_OTH,Decision maker about Visits to her family or relatives: Other [Women]
WE_DMKV_W_ELS,Decision maker about Visits to her family or relatives: Someone else [Women]
WE_DMKV_W_TOT,Decision maker about Visits to her family or relatives: Total [Women]
WE_DMKV_W_JNT,Decision maker about Visits to her family or relatives: Wife and husband jointly [Women]
WE_DMKV_W_DKM,Decision maker about Visits to her family or relatives: don't know or missing [Women]
RH_DELA_C_CSC,Delivery by cesarean section
FP_NADM_W_PDS,Demand for family planning satisfied
FP_NADA_W_PDS,Demand for family planning satisfied (all women)
FP_NDYA_W_PDS,Demand for family planning satisfied (all young women)
FP_NDYM_W_PDS,Demand for family planning satisfied (married young women)
FP_NADU_W_PDS,Demand for family planning satisfied (sexually active unmarried women)
FP_NDYU_W_PDS,Demand for family planning satisfied (sexually active unmarried young women)
FP_NADM_W_PDM,Demand for family planning satisfied by modern methods
FP_NADA_W_PDM,Demand for family planning satisfied by modern methods (all women)
FP_NDYA_W_PDM,Demand for family planning satisfied by modern methods (all young women)
FP_NDYM_W_PDM,Demand for family planning satisfied by modern methods (married young women)
FP_NADU_W_PDM,Demand for family planning satisfied by modern methods (sexually active unmarried women)
FP_NDYU_W_PDM,Demand for family planning satisfied by modern methods (sexually active unmarried young women)
HC_AGEG_P_014,Dependency age group 0-14
HC_AGEG_P_WRK,Dependency age group 15-64
HC_AGEG_P_SNR,Dependency age group 65+
PR_DESC_M_INF,Desire for more children [Men]: Declared infecund
PR_DESC_M_ALT,Desire for more children [Men]: Have another later
PR_DESC_M_ASN,Desire for more children [Men]: Have another soon
PR_DESC_M_MIS,Desire for more children [Men]: Missing
PR_DESC_M_STR,Desire for more children [Men]: Sterilized
PR_DESC_M_UND,Desire for more children [Men]: Undecided
PR_DESC_M_WNM,Desire for more children [Men]: Wants no more
PR_DESC_M_AUN,"Desire for more children [Men]: Wants, unsure timing"
PR_DESC_W_INF,Desire for more children: Declared infecund
PR_DESC_W_ALT,Desire for more children: Have another later
PR_DESC_W_ASN,Desire for more children: Have another soon
PR_DESC_W_MIS,Desire for more children: Missing
PR_DESC_W_STR,Desire for more children: Sterilized
PR_DESC_W_UND,Desire for more children: Undecided
PR_DESC_W_WNM,Desire for more children: Wants no more
PR_DESC_W_AUN,"Desire for more children: Wants, unsure timing"
CH_DSTL_C_TLT,Disposal of stools: Child uses toilet
CH_DSTL_C_NON,Disposal of stools: Not disposed of
CH_DSTL_C_OTH,Disposal of stools: Other
CH_DSTL_C_RTL,Disposal of stools: Throw in toilet/latrine
CH_DSTL_C_ODW,Disposal of stools: Throw outside the dwelling
CH_DSTL_C_OYD,Disposal of stools: Throw outside the yard
CH_DSTL_C_TOT,Disposal of stools: Total
CH_DSTL_C_DDP,Disposal of stools: Use disposable diapers
CH_DSTL_C_WDP,Disposal of stools: Use washable diapers
CH_DSTL_C_DKM,Disposal of stools: don't know or missing
FP_KFTP_W_DKN,Doesn't know the fertile period
SV_RESI_M_RES,Eligible men response rate
CH_VACP_C_EV1,Ever had vaccination card (12-23)
CH_VACP_C_EV2,Ever had vaccination card (24-35)
FG_KFCC_M_HFC,Ever heard of female circumcision (men)
FG_KFCC_W_HFC,Ever heard of female circumcision (women)
FP_EVUA_M_IUD,Ever use of IUD (all men)
FP_EVUA_W_IUD,Ever use of IUD (all women)
FP_EVUM_M_IUD,Ever use of IUD (married men)
FP_EVUM_W_IUD,Ever use of IUD (married women)
FP_EVUU_M_IUD,Ever use of IUD (sexually active unmarried men)
FP_EVUU_W_IUD,Ever use of IUD (sexually active unmarried women)
FP_EVUA_M_ANY,Ever use of any method of contraception (all men)
FP_EVUA_W_ANY,Ever use of any method of contraception (all women)
FP_EVUM_M_ANY,Ever use of any method of contraception (married men)
FP_EVUM_W_ANY,Ever use of any method of contraception (married women)
FP_EVUU_M_ANY,Ever use of any method of contraception (sexually active unmarried men)
FP_EVUU_W_ANY,Ever use of any method of contraception (sexually active unmarried women)
FP_EVUA_M_MOD,Ever use of any modern method of contraception (all men)
FP_EVUA_W_MOD,Ever use of any modern method of contraception (all women)
FP_EVUM_M_MOD,Ever use of any modern method of contraception (married men)
FP_EVUM_W_MOD,Ever use of any modern method of contraception (married women)
FP_EVUU_M_MOD,Ever use of any modern method of contraception (sexually active unmarried men)
FP_EVUU_W_MOD,Ever use of any modern method of contraception (sexually active unmarried women)
FP_EVUA_M_TRA,Ever use of any traditional method (all men)
FP_EVUA_W_TRA,Ever use of any traditional method (all women)
FP_EVUM_M_TRA,Ever use of any traditional method (married men)
FP_EVUM_W_TRA,Ever use of any traditional method (married women)
FP_EVUU_M_TRA,Ever use of any traditional method (sexually active unmarried men)
FP_EVUU_W_TRA,Ever use of any traditional method (sexually active unmarried women)
FP_EVUA_M_MCN,Ever use of condom (all men)
FP_EVUA_W_MCN,Ever use of condom (all women)
FP_EVUM_M_MCN,Ever use of condom (married men)
FP_EVUM_W_MCN,Ever use of condom (married women)
FP_EVUU_M_MCN,Ever use of condom (sexually active unmarried men)
FP_EVUU_W_MCN,Ever use of condom (sexually active unmarried women)
FP_EVUA_M_DIA,Ever use of diaphragm (all men)
FP_EVUA_W_DIA,Ever use of diaphragm (all women)
FP_EVUM_M_DIA,Ever use of diaphragm (married men)
FP_EVUM_W_DIA,Ever use of diaphragm (married women)
FP_EVUU_M_DIA,Ever use of diaphragm (sexually active unmarried men)
FP_EVUU_W_DIA,Ever use of diaphragm (sexually active unmarried women)
FP_EVUA_M_DFJ,"Ever use of diaphragm, foam or jelly (all men)"
FP_EVUM_M_DFJ,"Ever use of diaphragm, foam or jelly (married men)"
FP_EVUU_M_DFJ,"Ever use of diaphragm, foam or jelly (sexually active unmarried men)"
FP_EVUA_M_EMC,Ever use of emergency contraception (all men)
FP_EVUA_W_EMC,Ever use of emergency contraception (all women)
FP_EVUM_M_EMC,Ever use of emergency contraception (married men)
FP_EVUM_W_EMC,Ever use of emergency contraception (married women)
FP_EVUU_M_EMC,Ever use of emergency contraception (sexually active unmarried men)
FP_EVUU_W_EMC,Ever use of emergency contraception (sexually active unmarried women)
FP_EVUA_M_FCN,Ever use of female condom (all men)
FP_EVUA_W_FCN,Ever use of female condom (all women)
FP_EVUM_M_FCN,Ever use of female condom (married men)
FP_EVUM_W_FCN,Ever use of female condom (married women)
FP_EVUU_M_FCN,Ever use of female condom (sexually active unmarried men)
